#{"t_start": 1713060312.560961, "env_id": "SingleDC-v0"}
r,l,t,ep_job_wait_rew_mean,ep_util_rew_mean,ep_valid_count
-604.118891,2438,272.493953,0.06316425384211541,0.005815853158326244,134
-464.101872,2124,275.625286,0.04880421020476573,0.007615677966101275,146
-490.214045,2148,278.793555,0.05276230003486238,0.008707122905027447,180
-561.459295,2329,282.101181,0.05949028881315162,0.006427136109918066,126
-592.213713,2390,285.543212,0.06279377448099273,0.006271569037656563,136
-563.160648,2366,288.945008,0.058460182492271494,0.006350591715975981,142
-579.172129,2397,292.351571,0.060436507372521715,0.0062228410513138184,156
-508.382823,2261,295.687205,0.05227300757603144,0.007451570101724435,178
-561.493864,2333,299.537015,0.05955505298595092,0.006294599228460882,132
-538.004791,2287,302.860024,0.056966968024718206,0.007002055094009141,158
-511.992725,2241,306.134769,0.05433869972854081,0.006603614457830954,156
-478.600827,2177,309.291801,0.04995740573096321,0.007445153881487855,168
-536.627373,2269,312.582004,0.05754989777988621,0.006732745702952395,144
-496.252797,2207,315.730681,0.052847330658890836,0.006925555052106496,176
-543.935949,2310,319.1062,0.05730447065087879,0.006657077922077506,154
-530.06157,2301,322.484946,0.05502488323898684,0.00649302477183796,146
-545.133214,2306,325.824479,0.057961056523989495,0.006384106678230318,152
-500.053868,2204,328.986484,0.053763947617573186,0.006560117967331742,158
-543.631449,2276,332.654873,0.05904479444299146,0.006128383128294977,136
-523.811853,2270,335.966601,0.05553532332968629,0.00635689427312742,154
-516.593931,2242,339.25544,0.05565828238222842,0.006481445138269064,172
-509.05911,2231,342.42774,0.05405488544736477,0.006649551770506124,150
-497.156938,2186,345.589112,0.05379063230529707,0.0066808325709053875,152
-482.828925,2146,348.70199,0.05293915019115718,0.006703448275861712,162
-307.384562,1340,350.917241,0.052218658795498064,0.011246305970149667,156
-476.938268,2149,354.084866,0.05139805524552832,0.0071162401116794186,174
-523.482381,2264,357.518907,0.055472315212861445,0.006717204063603817,158
-504.759995,2191,360.70757,0.05466688622225789,0.006796827932450544,136
-598.944383,2412,364.153842,0.06360305645800106,0.005789552238805728,142
-503.960632,2229,367.372166,0.053508539413896404,0.006786339165544712,176
-537.27095,2251,370.698023,0.0587162938781699,0.006568880497556281,144
-468.800594,2096,373.736195,0.05187443573709112,0.007166722328243816,158
-451.073653,2064,376.802711,0.04965581099231423,0.007438735465115809,172
-525.209042,2261,380.073061,0.05536573154651167,0.006991220698805371,142
-288.565881,1300,382.114113,0.048431727942081615,0.011925692307692788,158
-545.208314,2288,385.364196,0.05766280211042413,0.00818673513985967,184
-475.954264,2115,388.444624,0.05233473699115939,0.0069108510638294105,140
-576.78279,2408,391.910842,0.059430421761767285,0.006048089700996373,144
-570.257091,2361,395.330633,0.06041380381559902,0.006096442185514318,148
-501.610982,2148,398.434626,0.05603023370379328,0.006863128491619712,134
-509.571946,2232,402.021069,0.053855634301766264,0.007388709677418867,174
-453.937995,2049,405.103264,0.0502792083734091,0.008103953147876536,168
-504.405155,2188,408.323892,0.054635338051117005,0.00755950639853697,168
-580.777379,2347,411.717742,0.06303956999014362,0.006037899446101119,142
-489.267032,2189,414.880537,0.051622345554075834,0.007617108268615391,178
-550.144529,2300,418.252677,0.05903501660001539,0.006145434782608429,130
-566.004842,2339,421.628368,0.05998041004699614,0.00668362548097438,144
-529.380664,2246,424.894361,0.05762137077904099,0.006408593054318477,148
-556.148059,2361,428.282419,0.05739187911864862,0.006772299872934748,166
-562.290711,2315,431.963643,0.06067413393088127,0.006270064794816098,136
-606.26495,2417,435.49642,0.06443879905039401,0.00581946628051279,128
-509.296929,2199,438.782175,0.055023587052041224,0.007799795361527456,176
-492.437848,2173,441.968776,0.05285394928099018,0.007395490105844062,158
-600.626329,2378,445.401993,0.06511930109701891,0.006000063078216691,130
-333.616985,1375,447.557245,0.05808403145651281,0.01055061818181855,136
-644.291527,2489,451.102207,0.06795696553110556,0.005769907593410736,124
-590.070271,2394,454.551721,0.062226178843263535,0.00643364661654098,146
-614.824048,2440,457.995909,0.06489111535345796,0.005859221311475148,128
-465.375982,2109,460.992028,0.05042858794988217,0.00715519203413898,154
-593.914016,2366,464.543433,0.06404017641182373,0.006239327979712255,122
-307.327638,1321,466.606827,0.052909112187770516,0.011619606358819517,142
-602.846523,2408,470.097458,0.06387001043508087,0.005918583887042932,114
-394.738216,1874,472.97297,0.04503775186230921,0.008447945570970929,154
-608.320996,2409,476.373018,0.06470006150924118,0.006287671232876377,126
-296.837145,1305,478.507061,0.04967522251677275,0.01313068965517275,158
-637.014246,2474,482.035805,0.06735580460086639,0.0057672392886012015,124
-412.194635,1966,484.908578,0.04389849223819811,0.009935478128178628,196
-543.988827,2300,488.421858,0.05767177046220328,0.006617347826086552,146
-539.597472,2299,491.769257,0.05682516854769278,0.007004262722922529,164
-322.994824,1327,493.921352,0.05710483852619864,0.01102076111529805,106
-561.725688,2343,497.156317,0.059063832609667896,0.006741357234314558,152
-523.301666,2244,500.3553,0.056245922379361206,0.006782486631015641,154
-609.519052,2434,503.811464,0.06395085182295059,0.006030073952341521,124
-457.086629,2075,506.857676,0.049026280940583374,0.008137084337349042,140
-580.370602,2355,510.644548,0.06174947801231377,0.0065952229299358865,128
-418.268523,1970,513.636809,0.04500263211397461,0.00878459390862898,142
-462.913392,2113,516.715487,0.04756804380805279,0.009765617605300047,176
-175.812427,803,517.745726,0.04043355212309887,0.021833686176836786,156
-312.721103,1320,519.869511,0.05487855790264329,0.01109454545454583,128
-536.941839,2269,523.204317,0.0562676190298046,0.00855337152930757,168
-580.699315,2370,526.696445,0.061079680143259776,0.007103734177214681,154
-625.995934,2439,530.236386,0.06654353020850302,0.006094095940959079,116
-646.593386,2503,533.768449,0.06794539509092791,0.005782940471434017,138
-596.942055,2386,537.182855,0.06391453254454524,0.005969761106454044,122
-594.198279,2371,541.010508,0.0645165017160208,0.005725685364824751,130
-608.867218,2436,544.544457,0.0642587840612323,0.005913731527093325,146
-538.152405,2275,547.796485,0.05768513514154852,0.0070461098901094255,166
-567.286866,2339,551.050072,0.05975628037164659,0.007693095339888353,172
-557.978395,2306,554.381625,0.06027392784650251,0.006694969644405499,158
-591.777398,2382,557.80025,0.06317501215227214,0.006153211586901447,134
-522.735766,2220,560.919155,0.05703542554073997,0.006802905405404996,142
-570.982817,2353,564.780506,0.06070119738216028,0.006173969400764665,140
-552.944399,2303,568.149246,0.059423330175388075,0.006473317412070864,146
-636.493857,2474,571.56763,0.06710726992286425,0.005921119644300446,124
-621.558371,2446,575.028865,0.0658989439595835,0.005843192968110937,130
-183.836816,811,576.491759,0.04552924430695506,0.01891165228113423,134
-558.074934,2321,579.784104,0.05983622152965928,0.006311439034898422,152
-473.961222,2117,582.890313,0.051848464697249165,0.007130066131317469,152
-587.987303,2380,586.227393,0.06199833458060236,0.006406827731092088,118
-517.391324,2228,589.461268,0.05608343621585894,0.006405834829443117,148
-526.857125,2205,592.739226,0.058090229598476636,0.007043877551019964,128
-525.501431,2242,595.950557,0.05677756195938047,0.006588024085637456,144
-558.37262,2301,599.303759,0.060412963580623015,0.00621140808344167,124
-307.461946,1313,601.428369,0.05179042323694633,0.013451675552170845,142
-575.271034,2330,604.736078,0.062313997979924735,0.006339206008583365,132
-612.727783,2430,608.232992,0.06437736727190202,0.006349999999999653,122
-582.806834,2354,611.665811,0.06280154013215868,0.006133496176720175,132
-622.322484,2439,615.607646,0.06598237716982554,0.0060143911439111365,118
-565.928361,2366,618.968268,0.058514713634521896,0.007050697379543032,154
-525.797226,2226,622.265305,0.05685550394475749,0.007146630727762324,134
-400.940616,1890,625.022985,0.04524562280312402,0.009216428571428204,168
-594.287361,2391,628.427603,0.06297748329634148,0.006543350062734862,142
-516.386475,2198,631.662187,0.05602202620228778,0.007646724294813005,144
-311.763528,1319,633.674692,0.052394986685235234,0.014222592873389008,154
-314.013376,1306,635.5172,0.05603064262237724,0.011163859111792107,116
-508.973656,2191,638.701097,0.05450784818203168,0.008149908717480118,152
-450.726006,2046,641.722171,0.049154253560526995,0.009069941348973246,186
